Codename,State,Username,Group,Host,MPI Tasks,Start Time,Wallclock Time,Stop Time,%comm,Total Memory,Total GFlops,Datasize,Processors,X,Y,Z,Iteration,Hostlist,Ranks
pfet,completed,spratham,group,csews9,8 on 1 hosts,Mon Nov 20 00:19:06 2023,17633.000 s,Mon Nov 20 05:12:59 2023,77.67%,9.0 gbytes,0,256,8,2,2,2,run1,csews9,0-7
pfet,completed,spratham,group,csews2,8 on 1 hosts,Sun Nov 19 16:28:40 2023,127.026 s,Sun Nov 19 16:30:46 2023,75.23%,1.4 gbytes,0,128,8,2,2,2,run10,csews2,0-7
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:06:21 2023,11.304 s,Sun Nov 19 17:06:33 2023,67.71%,2.2 gbytes,0,128,32,2,2,8,run7,csews2,0-7
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:06:21 2023,11.304 s,Sun Nov 19 17:06:33 2023,67.71%,2.2 gbytes,0,128,32,2,2,8,run7,csews32,8-15
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:06:21 2023,11.304 s,Sun Nov 19 17:06:33 2023,67.71%,2.2 gbytes,0,128,32,2,2,8,run7,csews4,16-23
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:06:21 2023,11.304 s,Sun Nov 19 17:06:33 2023,67.71%,2.2 gbytes,0,128,32,2,2,8,run7,csews5,24-31
pfet,completed,spratham,group,csews5,16 on 2 hosts,Mon Nov 20 06:38:51 2023,5.334 s,Mon Nov 20 06:38:57 2023,62.27%,0.6 gbytes,0,256,16,2,2,4,run3,csews4,0-7
pfet,completed,spratham,group,csews5,16 on 2 hosts,Mon Nov 20 06:38:51 2023,5.334 s,Mon Nov 20 06:38:57 2023,62.27%,0.6 gbytes,0,256,16,2,2,4,run3,csews5,8-15
pfet,completed,spratham,group,csews5,16 on 2 hosts,Mon Nov 20 00:18:29 2023,2298.620 s,Mon Nov 20 00:56:47 2023,79.57%,10.9 gbytes,0,256,16,2,2,4,run4,csews4,0-7
pfet,completed,spratham,group,csews5,16 on 2 hosts,Mon Nov 20 00:18:29 2023,2298.620 s,Mon Nov 20 00:56:47 2023,79.57%,10.9 gbytes,0,256,16,2,2,4,run4,csews5,8-15
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:07:00 2023,11.389 s,Sun Nov 19 17:07:12 2023,67.75%,2.1 gbytes,0,128,32,2,2,8,run9,csews2,0-7
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:07:00 2023,11.389 s,Sun Nov 19 17:07:12 2023,67.75%,2.1 gbytes,0,128,32,2,2,8,run9,csews32,8-15
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:07:00 2023,11.389 s,Sun Nov 19 17:07:12 2023,67.75%,2.1 gbytes,0,128,32,2,2,8,run9,csews4,16-23
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:07:00 2023,11.389 s,Sun Nov 19 17:07:12 2023,67.75%,2.1 gbytes,0,128,32,2,2,8,run9,csews5,24-31
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:07:00 2023,11.389 s,Sun Nov 19 17:07:12 2023,67.75%,2.1 gbytes,0,128,32,2,2,8,run8,csews2,0-7
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:07:00 2023,11.389 s,Sun Nov 19 17:07:12 2023,67.75%,2.1 gbytes,0,128,32,2,2,8,run8,csews32,8-15
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:07:00 2023,11.389 s,Sun Nov 19 17:07:12 2023,67.75%,2.1 gbytes,0,128,32,2,2,8,run8,csews4,16-23
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:07:00 2023,11.389 s,Sun Nov 19 17:07:12 2023,67.75%,2.1 gbytes,0,128,32,2,2,8,run8,csews5,24-31
pfet,completed,spratham,group,csews9,16 on 2 hosts,Sun Nov 19 17:01:51 2023,43.498 s,Sun Nov 19 17:02:35 2023,79.47%,1.9 gbytes,0,128,32,2,2,8,run1,csews4,0-7
pfet,completed,spratham,group,csews9,16 on 2 hosts,Sun Nov 19 17:01:51 2023,43.498 s,Sun Nov 19 17:02:35 2023,79.47%,1.9 gbytes,0,128,32,2,2,8,run1,csews9,8-15
pfet,completed,spratham,group,csews5,16 on 2 hosts,Mon Nov 20 00:18:29 2023,2298.620 s,Mon Nov 20 00:56:47 2023,79.57%,10.9 gbytes,0,256,16,2,2,4,run5,csews4,0-7
pfet,completed,spratham,group,csews5,16 on 2 hosts,Mon Nov 20 00:18:29 2023,2298.620 s,Mon Nov 20 00:56:47 2023,79.57%,10.9 gbytes,0,256,16,2,2,4,run5,csews5,8-15
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:06:21 2023,11.304 s,Sun Nov 19 17:06:33 2023,67.71%,2.2 gbytes,0,128,32,2,2,8,run6,csews2,0-7
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:06:21 2023,11.304 s,Sun Nov 19 17:06:33 2023,67.71%,2.2 gbytes,0,128,32,2,2,8,run6,csews32,8-15
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:06:21 2023,11.304 s,Sun Nov 19 17:06:33 2023,67.71%,2.2 gbytes,0,128,32,2,2,8,run6,csews4,16-23
pfet,completed,spratham,group,csews5,32 on 4 hosts,Sun Nov 19 17:06:21 2023,11.304 s,Sun Nov 19 17:06:33 2023,67.71%,2.2 gbytes,0,128,32,2,2,8,run6,csews5,24-31
pfet,completed,spratham,group,csews5,16 on 2 hosts,Mon Nov 20 06:38:51 2023,5.334 s,Mon Nov 20 06:38:57 2023,62.27%,0.6 gbytes,0,256,16,2,2,4,run2,csews4,0-7
pfet,completed,spratham,group,csews5,16 on 2 hosts,Mon Nov 20 06:38:51 2023,5.334 s,Mon Nov 20 06:38:57 2023,62.27%,0.6 gbytes,0,256,16,2,2,4,run2,csews5,8-15
pfet,completed,spratham,group,csews9,16 on 2 hosts,Mon Nov 20 14:49:27 2023,1.864 s,Mon Nov 20 14:49:29 2023,59.53%,0.6 gbytes,0,64,16,2,2,4,run1,csews4,0-7
pfet,completed,spratham,group,csews9,16 on 2 hosts,Mon Nov 20 14:49:27 2023,1.864 s,Mon Nov 20 14:49:29 2023,59.53%,0.6 gbytes,0,64,16,2,2,4,run1,csews9,8-15
